UTC0;Input0;134_0;76_0;125_0 (Info_to_ignore: TickSize: 0.01 PointValue: 1000)
1/4/2019 11:00:00 AM;48.69;0.478260869565217;71.577410847429;2.31140996007563
1/4/2019 12:00:00 PM;48.88;0.434782608695652;73.8896572573499;2.71065349863416
1/4/2019 1:00:00 PM;48.63;0.391304347826087;66.2523091310738;2.18533305316243
1/4/2019 1:47:00 PM;48.79;0.357246376811594;68.4966090565482;2.52153813826433
1/4/2019 2:29:00 PM;48.83;0.326811594202899;69.0507392376276;2.60558940953981
1/4/2019 2:46:00 PM;49.52;0.314492753623188;76.6730446099636;4.05547383904181
1/4/2019 3:22:00 PM;49.34;0.288405797101449;71.7113283112571;3.67724311830216
1/4/2019 3:52:00 PM;49.62;0.266666666666667;74.4780948774594;4.2656020172305
1/4/2019 4:13:00 PM;49.39;0.251449275362319;68.5474017933958;3.78230720739651
1/4/2019 4:25:00 PM;48.62;0.242753623188406;53.2574851396666;2.16432023534355
1/4/2019 4:40:00 PM;48.84;0.231884057971015;56.2595107667291;2.62660222735869
1/4/2019 5:20:00 PM;48.69;0.202898550724638;53.7259034228452;2.31140996007563
1/4/2019 6:17:00 PM;48.72;0.161594202898551;54.1704361716133;2.37444841353225
1/4/2019 7:17:00 PM;48.71;0.118115942028986;53.9842718342756;2.35343559571338
1/4/2019 8:17:00 PM;48.88;0.0746376811594203;56.7080687345132;2.71065349863416
1/4/2019 9:17:00 PM;48.88;0.0311594202898551;56.7080687345132;2.71065349863416
1/4/2019 10:00:00 PM;49;0;58.7089707533742;2.96280731246059
1/7/2019 12:00:00 AM;49.29;0.956521739130435;63.1424689619933;0.612369871402321
1/7/2019 1:00:00 AM;49.29;0.91304347826087;63.1424689619933;0.612369871402321
1/7/2019 2:00:00 AM;49.17;0.869565217391304;60.0482990842764;0.367421922841396
1/7/2019 3:00:00 AM;49.33;0.826086956521739;62.6746338981021;0.694019187589296
1/7/2019 4:00:00 AM;49.37;0.782608695652174;63.3237530120095;0.775668503776272
1/7/2019 5:00:00 AM;49.35;0.739130434782609;62.7362721572804;0.734843845682791
1/7/2019 6:00:00 AM;49.41;0.695652173913043;63.8206818422382;0.857317819963247
1/7/2019 7:00:00 AM;49.45;0.652173913043478;64.5611061541882;0.938967136150236
1/7/2019 8:00:00 AM;49.55;0.608695652173913;66.4117884263629;1.14309042661767
1/7/2019 9:00:00 AM;49.54;0.565217391304348;66.0403849312256;1.12267809757093
1/7/2019 10:00:00 AM;49.66;0.521739130434783;68.3292740691981;1.36762604613185
1/7/2019 11:00:00 AM;49.97;0.478260869565217;73.3301657425375;2.00040824658093
1/7/2019 12:00:00 PM;49.87;0.434782608695652;69.5168521878579;1.79628495611348
1/7/2019 1:00:00 PM;49.58;0.391304347826087;59.804269642913;1.2043274137579
1/7/2019 2:00:00 PM;49.85;0.347826086956522;64.7432505103454;1.75546029802
1/7/2019 2:15:00 PM;49.19;0.33695652173913;48.9196415888809;0.408246580934876
1/7/2019 2:50:00 PM;49.47;0.311594202898551;54.0505061628295;0.979791794243717
1/7/2019 3:16:00 PM;49.98;0.292753623188406;61.6137649758453;2.02082057562767
1/7/2019 3:42:00 PM;49.94;0.273913043478261;60.7689061447554;1.93917125944069
1/7/2019 4:02:00 PM;50.33;0.259420289855072;65.7064219556168;2.73525209226372
1/7/2019 4:31:00 PM;50;0.238405797101449;58.9461028595947;2.06164523372116
1/7/2019 5:09:00 PM;49.77;0.210869565217391;54.7203253463182;1.59216166564605
1/7/2019 6:09:00 PM;49.84;0.167391304347826;55.759822438741;1.73504796897326
1/7/2019 7:09:00 PM;49.5;0.123913043478261;49.7818172481884;1.04102878138395
1/7/2019 7:40:00 PM;49.25;0.101449275362319;45.8863116641551;0.530720555215346
1/7/2019 8:40:00 PM;49.29;0.0579710144927536;46.6062383459291;0.612369871402321
1/7/2019 9:40:00 PM;49.36;0.0144927536231884;47.9122277372997;0.755256174729531
1/7/2019 10:00:00 PM;49.46;0;49.8012147912571;0.959379465196977
1/8/2019 12:00:00 AM;49.44;0.956521739130435;49.4152313180585;0.0404694455685877
1/8/2019 1:00:00 AM;49.54;0.91304347826087;51.4417315268517;0.242816673411569
1/8/2019 2:00:00 AM;49.27;0.869565217391304;46.0746590266287;-0.303520841764465
1/8/2019 3:00:00 AM;49.47;0.826086956521739;50.2179512430911;0.101173613921484
1/8/2019 4:00:00 AM;49.28;0.782608695652174;46.5581565018992;-0.283286118980171
1/8/2019 5:00:00 AM;49.32;0.739130434782609;47.4268229246083;-0.202347227842981
1/8/2019 6:00:00 AM;49.19;0.695652173913043;44.8739235782099;-0.465398624038859
1/8/2019 7:00:00 AM;49.23;0.652173913043478;45.8399522585998;-0.384459732901669
1/8/2019 8:00:00 AM;49.22;0.608695652173913;45.6246950992734;-0.404694455685963
1/8/2019 9:00:00 AM;49.34;0.565217391304348;48.7356575466361;-0.161877782274379
1/8/2019 10:00:00 AM;49.69;0.521739130434783;56.5448450107733;0.546337515176034
1/8/2019 11:00:00 AM;49.96;0.478260869565217;61.4264284076537;1.09267503035208
1/8/2019 12:00:00 PM;49.96;0.434782608695652;61.4264284076537;1.09267503035208
1/8/2019 1:00:00 PM;49.77;0.391304347826087;56.2677531780536;0.708215297450428
1/8/2019 2:00:00 PM;49.88;0.347826086956522;58.4436775561341;0.930797248077703
1/8/2019 2:34:00 PM;50.06;0.323188405797101;61.793655856386;1.29502225819506
1/8/2019 3:05:00 PM;50.27;0.300724637681159;65.3074225799449;1.71995143666532
