UTC0;Input0;136_0;134_0;97_0;98_0;125_0;127_0;128_0 (Info_to_ignore: TickSize: 0.01 PointValue: 1000)
11/19/2018 1:25:00 PM;57.76;0;0.373188405797101;-0.124791766167007;-0.0606055538494014;-0.327868852459025;71.0000000000001;25.9999999999998
11/19/2018 1:41:00 PM;57.38;0;0.361594202898551;-0.155861610527872;-0.0733403185682126;-0.98360655737705;109;1.00000000000051
11/19/2018 1:50:00 PM;57.04;0;0.355072463768116;-0.205550387613698;-0.0984232765232313;-1.57031924072477;143;4.99999999999972
11/19/2018 1:59:00 PM;56.93;0;0.348550724637681;-0.250912815386201;-0.115028563436587;-1.76013805004315;154;22.9999999999997
11/19/2018 2:08:00 PM;56.89;0;0.342028985507246;-0.286784656912964;-0.12072032397068;-1.82916307161346;158;28.9999999999999
11/19/2018 2:31:00 PM;57.2;0;0.32536231884058;-0.286891830110136;-0.0966619977342818;-1.29421915444349;127;60.0000000000001
11/19/2018 2:36:00 PM;56.76;0;0.321739130434783;-0.318806090249119;-0.102861006298612;-2.05349439171701;171;15.9999999999997
11/19/2018 2:47:00 PM;56.58;0;0.313768115942029;-0.354535996736935;-0.110872730229142;-2.36410698878344;189;10.0000000000001
11/19/2018 2:55:00 PM;56.32;0;0.307971014492754;-0.399229957697628;-0.124453352951868;-2.81276962899051;215;3.00000000000011
11/19/2018 3:04:00 PM;56.4;0;0.301449275362319;-0.423315198248623;-0.118830874802291;-2.67471958584988;207;19.9999999999996
11/19/2018 3:16:00 PM;56.69;0;0.292753623188406;-0.414227393002264;-0.0877944556447452;-2.17428817946506;178;48.9999999999995
11/19/2018 3:26:00 PM;56.99;0;0.285507246376812;-0.378455153643984;-0.0416177730291718;-1.65660051768766;148;78.9999999999999
11/19/2018 3:41:00 PM;57.29;0;0.27463768115942;-0.322183967210634;0.0117227307233421;-1.13891285591027;118;109
11/19/2018 3:51:00 PM;57.47;0;0.267391304347826;-0.260066268811741;0.0590723432977882;-0.828300258843838;100;127
11/19/2018 4:05:00 PM;57.24;0;0.257246376811594;-0.226782416575439;0.0738849564272721;-1.22519413287317;123;104
11/19/2018 4:12:00 PM;57.6;0;0.252173913043478;-0.169402960645854;0.105011529885486;-0.603968938740296;86.9999999999997;140
11/19/2018 4:20:00 PM;57.39;0;0.246376811594203;-0.13926916513811;0.108116260314584;-0.966350301984473;108;119
11/19/2018 4:26:00 PM;57;0;0.242028985507246;-0.145184064211655;0.081761088992831;-1.63934426229509;147;79.9999999999997
11/19/2018 4:30:00 PM;57.41;0;0.239130434782609;-0.115457172440649;0.0891903846110693;-0.931837791199321;106;120.999999999999
11/19/2018 4:55:00 PM;57.35;0;0.221014492753623;-0.0956374461535034;0.0872080887185723;-1.03537532355479;112;115
11/19/2018 5:18:00 PM;57.73;0;0.204347826086957;-0.0487058948327643;0.107311712031449;-0.379637618636766;74.0000000000002;152.999999999999
11/19/2018 5:48:00 PM;57.58;0;0.182608695652174;-0.0233469199252596;0.106136549551163;-0.638481449525461;89.0000000000001;138
11/19/2018 6:18:00 PM;57.56;0;0.160869565217391;-0.00480815702137249;0.0997402499640401;-0.672993960310614;90.9999999999997;136
11/19/2018 6:36:00 PM;57.94;0;0.147826086956522;0.0400846988950221;0.115706484704348;-0.0172562553925886;53.0000000000001;173.999999999999
11/19/2018 7:06:00 PM;58.02;0;0.126086956521739;0.0811821250529334;0.125443128689807;0.120793787748059;44.9999999999996;182
11/19/2018 7:26:00 PM;57.68;0;0.111594202898551;0.0853333036660757;0.10367544584236;-0.46591889559966;78.9999999999999;148
11/19/2018 7:29:00 PM;58.18;0;0.109420289855072;0.127499232167366;0.11667309947492;0.39689387402933;28.9999999999999;198
11/19/2018 7:55:00 PM;58.34;0;0.0905797101449275;0.171845766096659;0.128815706723371;0.672993960310614;15.9999999999997;214
11/19/2018 8:25:00 PM;58.24;0;0.0688405797101449;0.19665463722535;0.122899662281649;0.500431406384813;25.9999999999998;204
11/19/2018 8:55:00 PM;58.24;0;0.0471014492753623;0.213850708483157;0.112076586831565;0.500431406384813;25.9999999999998;204
11/19/2018 9:25:00 PM;58.27;0;0.0253623188405797;0.227279531166822;0.100404327612184;0.552200172562554;22.9999999999997;207
11/19/2018 9:55:00 PM;58.26;0;0.0036231884057971;0.234412887615079;0.0860301472483526;0.534943917169966;24.0000000000002;206
11/19/2018 10:00:00 PM;58.3;1;0;0.240521210899445;0.0737107764261747;0.603968938740284;20.0000000000003;209.999999999999
11/19/2018 11:30:00 PM;58.34;0;0.978260869565217;0.245756835000861;0.0631571204220731;0.051449151089009;1.9999999999996;9.00000000000034
11/20/2018 12:00:00 AM;58.3;0;0.956521739130435;0.24386728881251;0.0490140593869771;-0.0171497170296778;6.00000000000023;4.99999999999972
11/20/2018 12:30:00 AM;58.27;0;0.934782608695652;0.237214598336593;0.0338890951288479;-0.0685988681186746;8.99999999999963;6.00000000000023
11/20/2018 1:00:00 AM;58.23;0;0.91304347826087;0.226108192996932;0.01822615183135;-0.137197736237361;13.0000000000003;4.99999999999972
11/20/2018 1:30:00 AM;58.14;0;0.891304347826087;0.207650374648225;-0.000185333213886113;-0.291545189504376;21.9999999999999;3.99999999999991
11/20/2018 2:00:00 AM;58.2;0;0.869565217391304;0.195609059706669;-0.00978131852435329;-0.188646887326358;15.9999999999997;12.0000000000005
11/20/2018 2:30:00 AM;58.14;0;0.847826086956522;0.179159493188841;-0.020984708033745;-0.291545189504376;21.9999999999999;6.00000000000023
11/20/2018 3:00:00 AM;58.04;0;0.826086956521739;0.15625274457016;-0.0351131653219405;-0.463042359801069;32;3.99999999999991
11/20/2018 3:30:00 AM;57.96;0;0.804347826086957;0.130143437309712;-0.0489779780659109;-0.600240096038418;39.9999999999999;7.00000000000003
11/20/2018 4:00:00 AM;57.97;0;0.782608695652174;0.109002032050853;-0.0560955066598163;-0.583090379008752;39.0000000000001;7.99999999999983
11/20/2018 4:30:00 AM;57.99;0;0.760869565217391;0.0927915061978837;-0.0578448260102285;-0.548790944949409;36.9999999999997;10.0000000000001
11/20/2018 5:00:00 AM;57.99;0;0.739130434782609;0.0790334986925814;-0.0572822668124247;-0.548790944949409;36.9999999999997;10.0000000000001
11/20/2018 5:30:00 AM;58.06;0;0.717391304347826;0.0729378119155868;-0.0507023628715354;-0.428742925741725;29.9999999999997;17.0000000000002
11/20/2018 6:00:00 AM;57.9;0;0.695652173913043;0.0545672560428301;-0.0552583349954337;-0.703138398216436;46.0000000000001;5.99999999999952
11/20/2018 6:30:00 AM;58.01;0;0.673913043478261;0.0483274500907598;-0.0491985127580032;-0.514491510890078;35.0000000000001;18.9999999999998
11/20/2018 7:00:00 AM;57.81;0;0.652173913043478;0.0269335571073341;-0.0564739245931431;-0.85748585148345;54.9999999999997;7.00000000000003
11/20/2018 7:30:00 AM;57.87;0;0.630434782608696;0.0146513497031364;-0.0550049055978726;-0.754587549305445;49.0000000000002;12.9999999999995
