UTC0;Input0;136_0;134_0;97_0;98_0;125_10;127_0;128_0 (Info_to_ignore: TickSize: 1 PointValue: 5)
10/6/2017 12:50:00 PM;22823;0;0.355072463768116;16.8785370243968;-5.40701387111888;-0.105046614435156;30;8
10/6/2017 1:30:00 PM;22811;0;0.326086956521739;13.4890627216264;-7.03719053911142;-0.157569921652733;42;5
10/6/2017 1:42:00 PM;22820;0;0.317391304347826;11.3977188921417;-7.30282749487689;-0.11817744123955;33;14
10/6/2017 2:02:00 PM;22823;0;0.302898550724638;9.86862935175304;-7.06553362821245;-0.105046614435156;30;21
10/6/2017 2:36:00 PM;22810;0;0.278260869565217;7.52112467649931;-7.53043064277294;-0.161946863920865;43;8
10/6/2017 2:56:00 PM;22804;0;0.263768115942029;5.11756831068124;-7.94718960687282;-0.188208517529654;49;6
10/6/2017 3:24:00 PM;22828;0;0.243478260869565;5.09065015158558;-6.37928621277478;-0.0831619030944982;25;30
10/6/2017 4:01:00 PM;22806;0;0.216666666666667;3.25656156367768;-6.57069984054614;-0.179454632993391;47;8
10/6/2017 4:43:00 PM;22817;0;0.186231884057971;2.65997863509983;-5.73382621529919;-0.131308268043944;36;19
10/6/2017 5:17:00 PM;22809;0;0.161594202898551;1.52408057270804;-5.49577942215279;-0.166323806188996;44;15
10/6/2017 6:17:00 PM;22817;0;0.118115942028986;1.25494014692595;-4.61193587834791;-0.131308268043944;36;23
10/6/2017 7:10:00 PM;22824;0;0.0797101449275362;1.58817838716641;-3.42295811048596;-0.100669672167024;29;30
10/6/2017 7:53:00 PM;22820;0;0.0485507246376812;1.51207526043436;-2.79924898977441;-0.11817744123955;33;26
10/6/2017 8:14:00 PM;22811;0;0.0333333333333333;0.717269958742691;-2.87524343317286;-0.157569921652733;42;17
10/6/2017 9:00:00 PM;22804;1;0;-0.47201932274038;-3.25162617172474;-0.188208517529654;49;10
10/8/2017 10:06:00 PM;22819;0;0.995652173913044;-0.20183834017007;-2.38515615132355;0.0657779336958428;8;29
10/8/2017 11:06:00 PM;22821;0;0.952173913043478;0.171686228401086;-1.60930526620191;0.0745483248552885;6;31
10/9/2017 12:06:00 AM;22825;0;0.908695652173913;0.781465463285713;-0.799620825053829;0.09208910717418;2;35
10/9/2017 1:06:00 AM;22831;0;0.865217391304348;1.72893961638692;0.118282662437906;0.118400280652517;1;41
10/9/2017 2:06:00 AM;22838;0;0.821739130434783;3.00996421364835;1.11944580775946;0.149096649710577;2;48
10/9/2017 3:05:00 AM;22833;0;0.778985507246377;3.58045397829846;1.35194845792766;0.127170671811963;7;43
10/9/2017 4:06:00 AM;22834;0;0.734782608695652;4.06638807905256;1.47030604694541;0.131555867391686;6;44
10/9/2017 5:06:00 AM;22832;0;0.691304347826087;4.24122091492609;1.31611110625515;0.12278547623224;8;42
10/9/2017 6:07:00 AM;22827;0;0.647101449275362;3.93100480725116;0.804715998864173;0.100859498333626;13;37
10/9/2017 7:07:00 AM;22830;0;0.603623188405797;3.88247646297896;0.604950123673579;0.114015085072794;10;40
10/9/2017 8:07:00 AM;22831;0;0.560144927536232;3.87998301418338;0.481965339902402;0.118400280652517;9;41
10/9/2017 9:07:00 AM;22831;0;0.516666666666667;3.8338131267883;0.348636362005856;0.118400280652517;9;41
10/9/2017 10:07:00 AM;22840;0;0.473188405797101;4.47189867795532;0.789377530538304;0.157867040870023;0;50
10/9/2017 11:07:00 AM;22844;0;0.429710144927536;5.23994976586982;1.24594289476224;0.175407823188914;7;54
10/9/2017 12:07:00 PM;22864;0;0.386231884057971;7.37742626192266;2.70673551265207;0.263111734783371;0;74
10/9/2017 1:07:00 PM;22851;0;0.342753623188406;7.93097706353365;2.60822905141044;0.206104192246974;13;61
10/9/2017 1:37:00 PM;22864;0;0.321014492753623;9.31132624356178;3.19086258515086;0.263111734783371;1;74
10/9/2017 1:48:00 PM;22835;0;0.31304347826087;7.973294105479;1.48226435765446;0.135941062971409;30;45
10/9/2017 2:12:00 PM;22835;0;0.295652173913043;6.83411457728653;0.274467863569591;0.135941062971409;30;45
10/9/2017 2:56:00 PM;22838;0;0.263768115942029;6.10302959562978;-0.365293694469728;0.149096649710577;27;48
10/9/2017 3:47:00 PM;22849;0;0.226811594202899;6.33818489950863;-0.104110712472699;0.197333801087529;16;59
10/9/2017 4:47:00 PM;22828;0;0.183333333333333;4.7749796828939;-1.33385274326995;0.105244693913349;37;38
10/9/2017 5:47:00 PM;22833;0;0.139855072463768;3.89469092705622;-1.7713131992861;0.127170671811963;32;43
10/9/2017 6:47:00 PM;22822;0;0.0963768115942029;2.28312918471056;-2.70629995330541;0.0789335204350114;43;32
10/9/2017 7:28:00 PM;22820;0;0.0666666666666667;0.834946860253694;-3.32358582220982;0.0701631292755657;45;30
10/9/2017 8:00:00 PM;22821;0;0.0434782608695652;-0.229411905180314;-3.51035567011506;0.0745483248552885;44;31
10/9/2017 9:00:00 PM;22827;1;0;-0.582064363508835;-3.09040650275487;0.100859498333626;38;37
10/9/2017 11:00:00 PM;22827;0;0.956521739130435;-0.851725812470249;-2.68805436137303;0;2;7
10/9/2017 11:59:00 PM;22831;0;0.913768115942029;-0.734204431319085;-2.05642638417749;0.0175231085994655;3;11
10/10/2017 12:44:00 AM;22851;0;0.881159420289855;0.961679322361306;-0.288434104397679;0.105138651596793;0;31
10/10/2017 1:44:00 AM;22848;0;0.83768115942029;2.04008762712692;0.63197936029435;0.0919963201471941;8;28
10/10/2017 2:44:00 AM;22843;0;0.794202898550725;2.46288515790366;0.843821512856867;0.0700924343978622;13;23
