UTC0;Input0;134_0;97_0;98_0;125_0;127_0;128_0 (Info_to_ignore: TickSize: 1E-05 PointValue: 1)
7/19/2018 2:00:00 AM;1.16491;0.791666666666667;-0.000111542553878907;0.000293972560301348;0.0919370360186885;76.0000000000094;115.999999999983
7/19/2018 3:00:00 AM;1.16465;0.75;-8.79161783700066E-05;0.000254079148648199;0.0695971954907872;102.000000000002;89.9999999999901
7/19/2018 4:00:00 AM;1.16518;0.708333333333333;-2.61243892576424E-05;0.000252696750208451;0.115136101182303;48.9999999999879;143.000000000004
7/19/2018 5:00:00 AM;1.16477;0.666666666666667;-1.01208577389933E-05;0.00021496022538168;0.0799078911190625;89.9999999999901;102.000000000002
7/19/2018 6:00:00 AM;1.1641;0.625;-5.09144343814327E-05;0.000139333318991392;0.0223398405279013;157.000000000007;34.999999999985
7/19/2018 6:43:00 AM;1.16242;0.595138888888889;-0.000216312086344983;-2.08514663777263E-05;-0.122009898267801;324.999999999998;15.9999999999938
7/19/2018 7:19:00 AM;1.16114;0.570138888888889;-0.000445540308408932;-0.00020006375075334;-0.231990651635957;452.999999999992;41.0000000000021
7/19/2018 8:01:00 AM;1.16099;0.540972222222222;-0.000632023498819301;-0.000309237552930967;-0.244879021171297;468.000000000002;38.999999999989
7/19/2018 8:37:00 AM;1.161;0.515972222222222;-0.000770128294738104;-0.000357873879079816;-0.244019796535602;466.999999999995;63.000000000013
7/19/2018 9:10:00 AM;1.16102;0.493055555555556;-0.000867958225503784;-0.000364563047876397;-0.242301347264233;465.000000000004;65.0000000000039
7/19/2018 9:52:00 AM;1.15997;0.463888888888889;-0.00101847502908936;-0.000412063881169579;-0.332519934011551;570.000000000004;45.9999999999905
7/19/2018 10:37:00 AM;1.16051;0.432638888888889;-0.00108171782359001;-0.000380245340536184;-0.28612180368436;516.000000000005;99.999999999989
7/19/2018 11:24:00 AM;1.15881;0.4;-0.00125455228852789;-0.000442463844379248;-0.432189991751451;686.000000000009;21.9999999999887
7/19/2018 12:16:00 PM;1.1586;0.363888888888889;-0.00139241915093202;-0.000464264565426706;-0.4502337091009;706.999999999991;2.99999999999745
7/19/2018 1:00:00 PM;1.15863;0.333333333333333;-0.00148217331206446;-0.000443214981247316;-0.447656035193836;703.999999999993;113.000000000008
7/19/2018 1:34:00 PM;1.16069;0.309722222222222;-0.00137127217549216;-0.000265851075740008;-0.270655760241956;497.999999999998;319.000000000003
7/19/2018 2:15:00 PM;1.16215;0.28125;-0.00115228955082158;-3.7494760855549E-05;-0.145208963431397;351.999999999997;465.000000000004
7/19/2018 3:01:00 PM;1.1612;0.249305555555556;-0.0010433739383211;5.71366813159463E-05;-0.226835303821829;446.999999999997;370.000000000004
7/19/2018 3:56:00 PM;1.15981;0.211111111111111;-0.00105703408307622;3.47812292486585E-05;-0.346267528182566;585.999999999998;231.000000000003
7/19/2018 4:56:00 PM;1.16057;0.169444444444444;-0.00099506372260727;7.74012717740906E-05;-0.280966455870213;509.999999999988;307.000000000013
7/19/2018 5:03:00 PM;1.16294;0.164583333333333;-0.000746111859303955;0.000261082508061925;-0.0773302172119794;272.99999999999;544.000000000011
7/19/2018 5:16:00 PM;1.16471;0.155555555555556;-0.000401364822707029;0.000484663635727081;0.0747525433049153;96.0000000000072;720.999999999994
7/19/2018 5:20:00 PM;1.16732;0.152777777777778;8.15152181905532E-05;0.00077403494129973;0.29901017321968;56.0000000000116;981.999999999994
7/19/2018 5:50:00 PM;1.16463;0.131944444444444;0.000244324193615197;0.000749475133379499;0.0678787462194175;324.999999999998;713.000000000008
7/19/2018 6:04:00 PM;1.16618;0.122222222222222;0.000492743485544844;0.000798315540247317;0.201058564751169;170.000000000003;868.000000000002
7/19/2018 7:04:00 PM;1.1643;0.0805555555555556;0.000531787164572028;0.000669887375419601;0.0395243332416745;358.000000000014;679.999999999992
7/19/2018 8:04:00 PM;1.16345;0.0388888888888889;0.000488510421193578;0.00050128850563292;-0.033509760791852;442.999999999993;595.000000000012
7/19/2018 9:00:00 PM;1.16412;0;0.000502484363889;0.000412209958662674;0.0240582897992901;375.999999999999;662.000000000007
7/19/2018 10:00:00 PM;1.16452;0.958333333333333;0.000539615123962056;0.000359472574988584;0.0343607188262341;18.9999999999912;45.0000000000061
7/19/2018 11:00:00 PM;1.16453;0.916666666666667;0.00056335443599731;0.00030656950961907;0.0352197367968956;31.9999999999876;46.0000000000127
7/20/2018 12:00:00 AM;1.16545;0.875;0.000648923931910739;0.000313711204425999;0.114249390097245;17.0000000000003;138.000000000016
7/20/2018 1:00:00 AM;1.16543;0.833333333333333;0.000706974973644581;0.000297409796927873;0.112531354155922;22.9999999999952;136.000000000003
7/20/2018 1:42:00 AM;1.16316;0.804166666666667;0.000563317243109651;0.000123001653114355;-0.082465725182977;282.000000000004;9.9999999999989
7/20/2018 2:42:00 AM;1.16515;0.7625;0.000603091759150631;0.000130220935324268;0.0884788509775508;83.0000000000108;252.999999999992
7/20/2018 3:42:00 AM;1.165;0.720833333333333;0.000615415476742376;0.00011403572233281;0.0755935814177226;97.9999999999981;238.000000000005
7/20/2018 4:42:00 AM;1.16512;0.679166666666667;0.000627630178824168;0.000101000339531681;0.0859017970655852;86.0000000000083;249.999999999995
7/20/2018 5:42:00 AM;1.16668;0.6375;0.000754492065881962;0.00018228978127158;0.219908600487913;45.0000000000061;405.999999999995
7/20/2018 6:42:00 AM;1.16543;0.595833333333333;0.000745571982341708;0.000138695758185061;0.112531354155922;192.999999999999;280.999999999998
7/20/2018 7:26:00 AM;1.16424;0.565277777777778;0.000635157991165203;2.26254136068446E-05;0.0103082156478626;312.000000000001;161.999999999995
7/20/2018 8:26:00 AM;1.16445;0.523611111111111;0.000558165171967939;-4.34939244723352E-05;0.0283475930316412;290.999999999997;183
7/20/2018 9:26:00 AM;1.16518;0.481944444444444;0.000549715924198502;-4.15545377934182E-05;0.0910559048895355;217.999999999985;256.000000000012
7/20/2018 10:26:00 AM;1.16482;0.440277777777778;0.000508113625528051;-6.65254691710954E-05;0.0601312579459096;253.999999999999;219.999999999998
7/20/2018 11:18:00 AM;1.16522;0.404166666666667;0.000501637595224702;-5.84011995795552E-05;0.0944919767721437;214.000000000003;259.999999999994
7/20/2018 12:17:00 PM;1.16683;0.363194444444444;0.000619280162990066;4.73930945486468E-05;0.232793870047761;55.9999999999894;421.000000000005
7/20/2018 12:46:00 PM;1.16985;0.343055555555556;0.000945304623056975;0.000298734043692445;0.492217297185858;22.9999999999952;723.000000000007
7/20/2018 1:07:00 PM;1.17124;0.328472222222222;0.00130084738096636;0.000523421441281466;0.611620795107035;27.9999999999836;862.000000000007
7/20/2018 1:36:00 PM;1.17181;0.308333333333333;0.00161005213567056;0.000666100956788529;0.66058481943442;43.9999999999996;919.000000000003
7/20/2018 2:08:00 PM;1.1717;0.286111111111111;0.0018251834718559;0.000704985834379093;0.6511356217572;59.9999999999934;907.999999999998
7/20/2018 2:57:00 PM;1.17075;0.252083333333333;0.00189715037659521;0.000621562191294729;0.569528914544885;154.999999999994;812.999999999997
7/20/2018 3:57:00 PM;1.17087;0.210416666666667;0.00194148740593114;0.000532719376504525;0.579837130192767;142.999999999982;825.000000000009
7/20/2018 4:57:00 PM;1.17054;0.16875;0.00192777439579905;0.00041520509309795;0.551489537161106;175.999999999998;791.999999999993
7/20/2018 5:57:00 PM;1.17195;0.127083333333333;0.00200754027793737;0.000395976780189013;0.672611071023606;42.999999999993;933.000000000006
7/20/2018 6:57:00 PM;1.17255;0.0854166666666667;0.00209502021091823;0.000386765370535899;0.724152149262957;134.000000000012;992.999999999999
7/20/2018 7:57:00 PM;1.17261;0.04375;0.00214447007053642;0.00034897218412327;0.729306257086888;128.000000000017;998.999999999994
7/20/2018 8:57:00 PM;1.17202;0.00208333333333333;0.00211170890561574;0.000252968815362072;0.678624196818199;187.000000000004;940.000000000007
7/20/2018 9:00:00 PM;1.17188;0;0.00205080817634062;0.000153654468869565;0.666597945229013;201.000000000007;926.000000000005
7/22/2018 10:00:00 PM;1.17238;0.958333333333333;0.00201960893629471;9.79641830589244E-05;-0.00938174312787781;39.9999999999956;12.9999999999963
7/22/2018 11:00:00 PM;1.17338;0.916666666666667;0.00205192168057455;0.000104221541871011;0.0759068307618877;8.99999999999235;113.000000000008
7/23/2018 12:00:00 AM;1.17403;0.875;0.00210570606221183;0.000126404738806631;0.131344403790214;52.0000000000076;177.999999999989
7/23/2018 1:00:00 AM;1.1744;0.833333333333333;0.00215336384198794;0.000139250014866194;0.162901176129441;26.9999999999992;215.00000000001
7/23/2018 2:00:00 AM;1.17408;0.791666666666667;0.00214063573392642;0.000101217525443738;0.13560883248471;100.999999999996;183
7/23/2018 3:00:00 AM;1.17342;0.75;0.00205361928762282;1.13608633121095E-05;0.0793183737174624;167.000000000006;116.999999999989
7/23/2018 4:00:00 AM;1.17407;0.708333333333333;0.00201389279222686;-2.26925056670837E-05;0.134755946745807;102.000000000002;181.999999999993
7/23/2018 5:00:00 AM;1.17332;0.666666666666667;0.00189998864008212;-0.000109277326249459;0.0707895163284878;177.000000000005;106.99999999999
7/23/2018 6:00:00 AM;1.17233;0.625;0.00171012084407018;-0.000239316097809114;-0.0136461718223557;275.999999999987;12.000000000012
7/23/2018 7:00:00 AM;1.17182;0.583333333333333;0.00150119170652174;-0.000358596188286044;-0.0571433445061321;326.999999999988;16.000000000016
